company,country,sector
Hydrotek PCL (HYDRO),Thailand,Water Utilities Companies
Hydrotek PCL NVDR (HYDRO-R),Thailand,Water Utilities Companies
Hyflux Ltd. (HYF),Germany,Water Utilities Companies
Hyflux Ltd. (600),Singapore,Water Utilities Companies
Hyflux Ltd. (HYFXF),United States,Water Utilities Companies
Hyflux Ltd. ADR (HYFXY),United States,Water Utilities Companies
Hyflux Ltd. Pfd. (N2H),Singapore,Water Utilities Companies
Inversiones Aguas Metropolitanas S.A. (IAM),Chile,Water Utilities Companies
Jiangsu Jiangnan Water Co. Ltd. (601199),China,Water Utilities Companies
Jiangxi Hongcheng Waterworks Co. Ltd. (600461),China,Water Utilities Companies
Kangda International Environmental Co. Ltd. (6136),Hong Kong,Water Utilities Companies
Korea District Heating Corp. (071320),South Korea,Water Utilities Companies
Luenmei Holding Co. Ltd. A (600167),China,Water Utilities Companies
Manila Water Co. Inc. (MWC),Philippines,Water Utilities Companies
Manila Water Co. Inc. (MWTCF),United States,Water Utilities Companies
Metro Pacific Investments Corp. (MPI),Philippines,Water Utilities Companies
Middlesex Water Co. (MSEX),United States,Water Utilities Companies
Modern Water PLC (MWG),United Kingdom,Water Utilities Companies
Moya Holdings Asia Ltd. (5WE),Singapore,Water Utilities Companies
New England Service Co. (NESW),United States,Water Utilities Companies
PBA Holdings Bhd (PBA),Malaysia,Water Utilities Companies
Philippine H2O Ventures Corp. (H2O),Philippines,Water Utilities Companies
Puncak Niaga Holdings Bhd (PUNCAK),Malaysia,Water Utilities Companies
Pure Cycle Corp. (PCYO),United States,Water Utilities Companies
Qianjiang Water Resources Development Co. Ltd. A (600283),China,Water Utilities Companies
Quest Water Global Inc. (QWTR),United States,Water Utilities Companies
Ranhill Holdings Bhd (RANHILL),Malaysia,Water Utilities Companies
Salcon Bhd (SALCON),Malaysia,Water Utilities Companies
Severn Trent PLC (SVT1),Germany,Water Utilities Companies
Severn Trent PLC (SVT),United Kingdom,Water Utilities Companies
Severn Trent PLC ADR (STRNY),United States,Water Utilities Companies
Shenyang Huitian Thermal Power Co. Ltd. (000692),China,Water Utilities Companies
SIIC Environment Holdings Ltd. (BHK),Singapore,Water Utilities Companies
SIIC Environment Holdings Ltd. (A9W1),Germany,Water Utilities Companies
SJW Corp. (SJW),United States,Water Utilities Companies
Societe des Eaux de Douai S.A. (MLEAU),France,Water Utilities Companies
Suez Environnement S.A. (SZEVF),United States,Water Utilities Companies
Suez Environnement S.A. (0NRV),United Kingdom,Water Utilities Companies
Suez Environnement S.A. (SZ1),United States,Water Utilities Companies
Suez S.A. (SEV),France,Water Utilities Companies
Suez S.A. ADR (SZEVY),United States,Water Utilities Companies
Suido Kiko Kaisha Ltd. (6403),Japan,Water Utilities Companies
Taliworks Corp. Bhd (TALIWRK),Malaysia,Water Utilities Companies
Tallinna Vesi A.S. (A1T),Germany,Water Utilities Companies
Tallinna Vesi A.S. (TVEAT),Estonia,Water Utilities Companies
Thessaloniki Water Supply & Sewerage Co. S.A. (EYAPS),Greece,Water Utilities Companies
Tianjin Capital Environmental Protection Group Co. Ltd. (1065),Hong Kong,Water Utilities Companies
Tianjin Capital Environmental Protection Group Co. Ltd. (600874),China,Water Utilities Companies
Torrington Water Co. (TORW),United States,Water Utilities Companies
TTW PCL (TTW),Thailand,Water Utilities Companies
TTW PCL ADR (TTAPY),United States,Water Utilities Companies
TTW PCL NVDR (F1P2),Germany,Water Utilities Companies
TTW PCL NVDR (TTW-R),Thailand,Water Utilities Companies
United Utilities Group PLC (UUEC),Germany,Water Utilities Companies
United Utilities Group PLC (UU.),United Kingdom,Water Utilities Companies
United Utilities Group PLC ADR (UUGRY),United States,Water Utilities Companies
Veolia Environnement S.A. (VEOEF),United States,Water Utilities Companies
Veolia Environnement S.A. (VIE),France,Water Utilities Companies
Veolia Environnement S.A. (0NY8),United Kingdom,Water Utilities Companies
Veolia Environnement S.A. (VVD),United States,Water Utilities Companies
Veolia Environnement S.A. ADR (VVDH),Germany,Water Utilities Companies
Veolia Environnement S.A. ADR (VEOEY),United States,Water Utilities Companies
York Water Co. (YORW),United States,Water Utilities Companies
Yunnan Water Investment Co. Ltd. (6839),Hong Kong,Water Utilities Companies
Yunnan Water Investment Co. Ltd. (2WI),Germany,Water Utilities Companies
Zhongshan Public Utilities Group Co. Ltd. (000685),China,Water Utilities Companies
